full_name,owner,name,stars,forks,language,pr_count,url
williamfiset/Algorithms,williamfiset,Algorithms,18583,4520,Java,299,https://github.com/williamfiset/Algorithms
Tencent/APIJSON,Tencent,APIJSON,18398,2272,Java,156,https://github.com/Tencent/APIJSON
LMAX-Exchange/disruptor,LMAX-Exchange,disruptor,18309,3965,Java,174,https://github.com/LMAX-Exchange/disruptor
Tencent/tinker,Tencent,tinker,17652,3358,Java,144,https://github.com/Tencent/tinker
ben-manes/caffeine,ben-manes,caffeine,17613,1683,Java,1000,https://github.com/ben-manes/caffeine
infinilabs/analysis-ik,infinilabs,analysis-ik,17443,3283,Java,134,https://github.com/infinilabs/analysis-ik
openzipkin/zipkin,openzipkin,zipkin,17432,3103,Java,1000,https://github.com/openzipkin/zipkin
baomidou/mybatis-plus,baomidou,mybatis-plus,17361,4446,Java,1000,https://github.com/baomidou/mybatis-plus
gyoogle/tech-interview-for-developer,gyoogle,tech-interview-for-developer,17306,3728,Java,158,https://github.com/gyoogle/tech-interview-for-developer
material-components/material-components-android,material-components,material-components-android,17257,3234,Java,773,https://github.com/material-components/material-components-android
alibaba/DataX,alibaba,DataX,17181,5668,Java,383,https://github.com/alibaba/DataX
facebook/fresco,facebook,fresco,17148,3748,Java,462,https://github.com/facebook/fresco
nostra13/Android-Universal-Image-Loader,nostra13,Android-Universal-Image-Loader,16890,6034,Java,148,https://github.com/nostra13/Android-Universal-Image-Loader
questdb/questdb,questdb,questdb,16883,1564,Java,1000,https://github.com/questdb/questdb
Grasscutters/Grasscutter,Grasscutters,Grasscutter,16746,4347,Java,1000,https://github.com/Grasscutters/Grasscutter
prestodb/presto,prestodb,presto,16696,5529,Java,1000,https://github.com/prestodb/presto
neo4j/neo4j,neo4j,neo4j,16357,2595,Java,1000,https://github.com/neo4j/neo4j
quarkusio/quarkus,quarkusio,quarkus,15632,3143,Java,1000,https://github.com/quarkusio/quarkus
apache/hadoop,apache,hadoop,15529,9215,Java,1000,https://github.com/apache/hadoop
Konloch/bytecode-viewer,Konloch,bytecode-viewer,15494,1226,Java,169,https://github.com/Konloch/bytecode-viewer
mockito/mockito,mockito,mockito,15428,2655,Java,1000,https://github.com/mockito/mockito
apache/doris,apache,doris,15256,3765,Java,1000,https://github.com/apache/doris
apache/pulsar,apache,pulsar,15211,3724,Java,1000,https://github.com/apache/pulsar
zaproxy/zaproxy,zaproxy,zaproxy,15021,2542,Java,1000,https://github.com/zaproxy/zaproxy
supertokens/supertokens-core,supertokens,supertokens-core,15015,659,Java,684,https://github.com/supertokens/supertokens-core
cryptomator/cryptomator,cryptomator,cryptomator,14981,1283,Java,754,https://github.com/cryptomator/cryptomator
elastic/logstash,elastic,logstash,14838,3501,Java,1000,https://github.com/elastic/logstash
eclipse-vertx/vert.x,eclipse-vertx,vert.x,14655,2102,Java,1000,https://github.com/eclipse-vertx/vert.x
arduino/Arduino,arduino,Arduino,14565,6979,Java,1000,https://github.com/arduino/Arduino
alibaba/ARouter,alibaba,ARouter,14489,2611,Java,143,https://github.com/alibaba/ARouter
languagetool-org/languagetool,languagetool-org,languagetool,14403,1504,Java,1000,https://github.com/languagetool-org/languagetool
GoogleContainerTools/jib,GoogleContainerTools,jib,14376,1468,Java,1000,https://github.com/GoogleContainerTools/jib
apache/dolphinscheduler,apache,dolphinscheduler,14241,5037,Java,1000,https://github.com/apache/dolphinscheduler
deeplearning4j/deeplearning4j,deeplearning4j,deeplearning4j,14224,3841,Java,1000,https://github.com/deeplearning4j/deeplearning4j
kekingcn/kkFileView,kekingcn,kkFileView,14088,3242,Java,301,https://github.com/kekingcn/kkFileView
xpipe-io/xpipe,xpipe-io,xpipe,14020,535,Java,185,https://github.com/xpipe-io/xpipe
Netflix/zuul,Netflix,zuul,14005,2442,Java,1000,https://github.com/Netflix/zuul
apache/druid,apache,druid,13980,3773,Java,1000,https://github.com/apache/druid
pinpoint-apm/pinpoint,pinpoint-apm,pinpoint,13825,3761,Java,1000,https://github.com/pinpoint-apm/pinpoint
tink-crypto/tink,tink-crypto,tink,13544,1184,Java,248,https://github.com/tink-crypto/tink
projectlombok/lombok,projectlombok,lombok,13435,2474,Java,572,https://github.com/projectlombok/lombok
metersphere/metersphere,metersphere,metersphere,13141,2805,Java,1000,https://github.com/metersphere/metersphere
microg/GmsCore,microg,GmsCore,13014,2733,Java,695,https://github.com/microg/GmsCore
plantuml/plantuml,plantuml,plantuml,12932,1178,Java,918,https://github.com/plantuml/plantuml
alibaba/COLA,alibaba,COLA,12927,3232,Java,211,https://github.com/alibaba/COLA
codecentric/spring-boot-admin,codecentric,spring-boot-admin,12830,3131,Java,1000,https://github.com/codecentric/spring-boot-admin
opensearch-project/OpenSearch,opensearch-project,OpenSearch,12796,2530,Java,1000,https://github.com/opensearch-project/OpenSearch
Netflix/conductor,Netflix,conductor,12774,2329,Java,1000,https://github.com/Netflix/conductor
apache/zookeeper,apache,zookeeper,12756,7325,Java,1000,https://github.com/apache/zookeeper
trinodb/trino,trinodb,trino,12745,3577,Java,1000,https://github.com/trinodb/trino
google/guice,google,guice,12737,1688,Java,690,https://github.com/google/guice
Netflix/eureka,Netflix,eureka,12704,3779,Java,880,https://github.com/Netflix/eureka
facebook/stetho,facebook,stetho,12685,1115,Java,306,https://github.com/facebook/stetho
debezium/debezium,debezium,debezium,12642,2913,Java,1000,https://github.com/debezium/debezium
LawnchairLauncher/lawnchair,LawnchairLauncher,lawnchair,12641,1490,Java,1000,https://github.com/LawnchairLauncher/lawnchair
zhihu/Matisse,zhihu,Matisse,12543,2053,Java,119,https://github.com/zhihu/Matisse
