nameWithOwner,owner,description,primaryLanguage,stars,forks,createdAt,updatedAt,repositoryAge,daysSinceUpdate,mergedPullRequests,releases,openIssues,closedIssues,totalIssues,closedIssuesRatio,watchers,url
d3/d3,d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",Shell,112468,22792,2010-09-27T17:22:42Z,2026-03-05T20:47:03Z,5638,0,494,194,0,2229,2229,1.0,0,https://github.com/d3/d3
iptv-org/iptv,iptv-org,Collection of publicly available IPTV channels from all over the world,TypeScript,112436,5672,2018-11-14T22:00:57Z,2026-03-05T22:55:28Z,2668,0,6821,0,0,21436,21436,1.0,0,https://github.com/iptv-org/iptv
mrdoob/three.js,mrdoob,JavaScript 3D Library.,JavaScript,111195,36281,2010-03-23T18:58:01Z,2026-03-05T22:49:53Z,5826,0,15235,175,0,13065,13065,1.0,0,https://github.com/mrdoob/three.js
rust-lang/rust,rust-lang,Empowering everyone to build reliable and efficient software.,Rust,110921,14580,2010-06-16T20:39:03Z,2026-03-05T22:55:20Z,5741,0,69550,147,0,50469,50469,1.0,0,https://github.com/rust-lang/rust
rustdesk/rustdesk,rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,108704,16185,2020-09-28T15:36:08Z,2026-03-05T22:48:38Z,1984,0,3946,36,0,3939,3939,1.0,0,https://github.com/rustdesk/rustdesk
axios/axios,axios,Promise based HTTP client for the browser and node.js,JavaScript,108582,11534,2014-08-18T22:30:27Z,2026-03-05T21:55:49Z,4217,0,1134,109,0,4757,4757,1.0,0,https://github.com/axios/axios
microsoft/TypeScript,microsoft,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,TypeScript,108025,13255,2014-06-17T15:28:39Z,2026-03-05T22:15:30Z,4279,0,14857,214,0,37982,37982,1.0,0,https://github.com/microsoft/TypeScript
Hack-with-Github/Awesome-Hacking,Hack-with-Github,"A collection of various awesome lists for hackers, pentesters and security researchers",Unknown,107790,10042,2016-03-30T15:47:10Z,2026-03-05T22:34:37Z,3627,0,34,0,0,0,0,0.0,0,https://github.com/Hack-with-Github/Awesome-Hacking
shadcn-ui/ui,shadcn-ui,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",TypeScript,107769,8010,2023-01-04T12:43:27Z,2026-03-05T22:57:31Z,1156,0,1007,75,0,2949,2949,1.0,0,https://github.com/shadcn-ui/ui
microsoft/generative-ai-for-beginners,microsoft,"21 Lessons, Get Started Building with Generative AI ",Jupyter Notebook,107563,57667,2023-06-19T16:28:59Z,2026-03-05T22:53:00Z,990,0,521,0,0,202,202,1.0,0,https://github.com/microsoft/generative-ai-for-beginners
godotengine/godot,godotengine,Godot Engine – Multi-platform 2D and 3D game engine,C++,107398,24520,2014-01-04T16:05:36Z,2026-03-05T22:34:26Z,4443,0,41425,66,0,48296,48296,1.0,0,https://github.com/godotengine/godot
GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,Java,106591,13528,2019-09-05T03:01:56Z,2026-03-05T21:37:42Z,2373,0,0,0,0,162,162,1.0,0,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
denoland/deno,denoland,A modern runtime for JavaScript and TypeScript.,Rust,106310,5911,2018-05-15T01:34:26Z,2026-03-05T22:40:26Z,2851,0,14295,368,0,11602,11602,1.0,0,https://github.com/denoland/deno
goldbergyoni/nodebestpractices,goldbergyoni,:white_check_mark:  The Node.js best practices list (July 2024),Dockerfile,105147,10686,2017-09-15T08:33:19Z,2026-03-05T22:40:12Z,3093,0,766,0,0,286,286,1.0,0,https://github.com/goldbergyoni/nodebestpractices
Comfy-Org/ComfyUI,Comfy-Org,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",Python,104953,12033,2023-01-17T03:15:56Z,2026-03-05T22:46:23Z,1143,0,2214,124,0,4511,4511,1.0,0,https://github.com/Comfy-Org/ComfyUI
fatedier/frp,fatedier,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,Go,104906,14918,2015-12-21T15:24:59Z,2026-03-05T19:58:14Z,3727,0,735,109,0,4022,4022,1.0,0,https://github.com/fatedier/frp
facebook/create-react-app,facebook,Set up a modern web app by running one command.,JavaScript,103827,27115,2016-07-17T14:55:11Z,2026-03-05T22:52:33Z,3518,0,1949,83,0,6574,6574,1.0,0,https://github.com/facebook/create-react-app
papers-we-love/papers-we-love,papers-we-love,Papers from the computer science community to read and discuss.,Shell,103825,6283,2013-12-15T14:31:41Z,2026-03-05T22:30:51Z,4463,0,439,0,0,246,246,1.0,0,https://github.com/papers-we-love/papers-we-love
tauri-apps/tauri,tauri-apps,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",Rust,103670,3421,2019-07-13T09:09:37Z,2026-03-05T22:19:30Z,2427,0,5400,0,0,4912,4912,1.0,0,https://github.com/tauri-apps/tauri
microsoft/terminal,microsoft,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,102026,9109,2017-08-11T18:38:22Z,2026-03-05T22:58:28Z,3128,0,4379,148,0,12169,12169,1.0,0,https://github.com/microsoft/terminal
deepseek-ai/DeepSeek-V3,deepseek-ai,,Python,101896,16546,2024-12-26T09:52:40Z,2026-03-05T20:27:32Z,434,0,25,1,0,679,679,1.0,0,https://github.com/deepseek-ai/DeepSeek-V3
